Model,EndOfUpdates,Make
AC700,Aug-16,Acer
C7 Chromebook,Oct-17,Acer
Chromebook Tab 10,Aug-23,Acer
"Chromebook 11 (C720, C720P)",Jun-19,Acer
Chromebook 11 (C740),Jun-20,Acer
"Chromebook 11 (CB3-111, C730, C730E)",Aug-19,Acer
"Chromebook 11 (CB3-131, C735)",Jan-21,Acer
"Chromebook 11 N7 (C731, C731T)",Jan-22,Acer
"Chromebook 11 (CB311-8H, CB311-8HT)",Nov-23,Acer
"Chromebook 11 (C732, C732T, C732L, C732LT)",Nov-23,Acer
"Chromebook 11 (C771, C771T)",Nov-22,Acer
"Chromebook 311 (C733, C733U, C733T)",Jun-25,Acer
Chromebook 311 (C721),Jun-25,Acer
Chromebook 315 (CB315-2H),Jun-25,Acer
"Chromebook 512 (C851, C851T)",Jun-25,Acer
Chromebook 13 (CB5-311),Sep-19,Acer
Chromebook 13 (CB713-1W),Jun-24,Acer
Chromebook 14 (CB3-431),Jun-21,Acer
Chromebook 14 for Work (CP5-471),Nov-22,Acer
Chromebook 514,Nov-23,Acer
"Chromebook 15 (CB5-571, C910)",Jun-20,Acer
Chromebook 15 (CB3-531),Jun-20,Acer
Chromebook 15 (CB3-532),Aug-21,Acer
"Chromebook 15 (CB315-1H, CB315-1HT)",Nov-23,Acer
"Chromebook 15 (CB515-1H, CB515-1HT)",Nov-23,Acer
Chromebook 715 (CB715-1W / CB715-1WT),Jun-24,Acer
Chromebook 714 (CB714-1W / CB714-1WT),Jun-24,Acer
"Chromebook R11 (CB5-132T, C738T)",Jun-21,Acer
Chromebook Spin 11 (R751T),Nov-23,Acer
"Chromebook Spin 11 (CP311-H1, CP311-1HN)",Nov-23,Acer
Chromebook Spin 311 (R721T),Jun-25,Acer
"Chromebook Spin 511 (R752T, R752TN)",Jun-25,Acer
Chromebook Spin 512 (R851TN),Jun-25,Acer
Chromebook R13 (CB5-312T),Sep-21,Acer
Chromebook Spin 13 (CP713-1WN),Jun-24,Acer
Chromebook Spin 15 (CP315),Nov-23,Acer
Chromebox,Sep-19,Acer
Chromebox CXI2 / CXV2,Jun-20,Acer
Chromebox CXI3,Jun-24,Acer
Chromebase,Aug-20,Acer
Chromebase 24,Jun-21,Acer
Chromebase Commercial,Sep-20,Aopen
Chromebox Commercial,Sep-20,Aopen
Chromebox Mini,Feb-22,Aopen
Chromebase Mini,Feb-22,Aopen
Chromebit CS10,Nov-20,Asus
Chromebook Tablet CT100,Aug-23,Asus
Chromebook C200,Jun-19,Asus
Chromebook C201PA,Jun-20,Asus
Chromebook C202SA,Jun-21,Asus
Chromebook C204,Jun-25,Asus
Chromebook C223,Nov-23,Asus
Chromebook C300,Aug-19,Asus
Chromebook C300SA / C301SA,Jun-21,Asus
Chromebook C403,Nov-23,Asus
Chromebook C423,Nov-23,Asus
Chromebook C523,Nov-23,Asus
Chromebook Flip C100PA,Jul-20,Asus
Chromebook Flip C101PA,Aug-23,Asus
Chromebook Flip C213,Nov-23,Asus
Chromebook Flip C214 ,Jun-25,Asus
Chromebook Flip C302,Nov-22,Asus
Chromebook Flip C434,Jun-24,Asus
Chromebox (CN60),Sep-19,Asus
Chromebox 2 (CN62),Jun-21,Asus
Chromebox 3 (CN65),Jun-24,Asus
Chromebook 11,Jun-20,Bobicus
Chromebook Tablet Tx1 for Education,Aug-23,CTL
J2 / J4 Chromebook ,Jun-20,CTL
N6 Education Chromebook,Jun-20,CTL
J5 Chromebook,Aug-21,CTL
NL61 Chromebook,Aug-21,CTL
Chromebook NL7 / NL7T-360 / NL7TW-360,Nov-23,CTL
Chromebook J41 / J41T ,Nov-23,CTL
Chromebox CBx1,Jun-24,CTL
Chromebook 11,Jun-19,Dell
Chromebook 11 (3120),Jun-20,Dell
Chromebook 11 (3180),May-22,Dell
Chromebook 11 (5190),Nov-23,Dell
Chromebook 3100,Jun-25,Dell
Chromebook 11 2-in-1 (3189),May-22,Dell
Chromebook 11 2-in-1 (5190),Nov-23,Dell
Chromebook 3100 2-in-1,Jun-25,Dell
Chromebook 13 (7310),Sep-20,Dell
Chromebook 13 (3380),Nov-22,Dell
Chromebook 3400,Jun-25,Dell
Chromebox,Sep-19,Dell
Inspiron Chromebook 14 2-in-1 (7486),Jun-24,Dell
Chromebook R,Jun-20,EduGear
Chromebook K,Jun-20,EduGear
Chromebook M,Jun-20,EduGear
CMT Chromebook,Aug-21,EduGear
Chromebook,Jun-20,Edxis
Education Chromebook,Jun-20,Edxis
Cr-48,Dec-15,Google
Chromebook Pixel,Jun-18,Google
Chromebook Pixel (2015),Jun-20,Google
Google Pixelbook,Jun-24,Google
Google Pixel Slate,Jun-24,Google
Chromebook 11,Jun-20,Haier
Chromebook 11e,Jun-20,Haier
Chromebook 11 G2,Sep-20,Haier
Chromebook 11 C,Aug-21,Haier
Chromebook Pi,Jun-20,HEXA
Chromebook 11,Jun-20,Hisense
Chromebook 11 G1,Oct-18,HP
Chromebook 11 G2,Jun-19,HP
Chromebook 11 G3,Jun-20,HP
Chromebook 11 G4/G4 EE,Jun-20,HP
Chromebook 11 G5,Jul-21,HP
Chromebook 11 G5 EE,Jan-22,HP
Chromebook 11 G6 EE,Nov-23,HP
Chromebook 11A G6 EE,Jun-25,HP
Chromebook 11 G7 EE,Jun-25,HP
Chromebook 13 G1,Nov-22,HP
Pavilion Chromebook 14,Feb-18,HP
Chromebook 14,Jun-19,HP
Chromebook 14 G3,Oct-19,HP
Chromebook 14 G4,Sep-21,HP
Chromebook 14 G5,Nov-23,HP
Chromebook 14A G5,Jun-25,HP
Chromebook x360 11 G1 EE,Nov-23,HP
Chromebook x360 11 G2 EE,Jun-25,HP
Chromebook x2    ,Jun-24,HP
Chromebox G1,Sep-19,HP
Chromebox G2,Jun-24,HP
HP Chromebook x360 14,Jun-24,HP
HP Chromebook x360 14 G1 ,Jun-24,HP
Xolo Chromebook,Jun-20,Lava
100S Chromebook,Sep-20,Lenovo
Flex 11 Chromebook,Jun-22,Lenovo
N20 Chromebook,Jun-19,Lenovo
N21 Chromebook,Jun-20,Lenovo
N22 Chromebook,Jun-21,Lenovo
N23 Chromebook,Jun-21,Lenovo
100e Chromebook,Nov-23,Lenovo
100e Chromebook 2nd Gen,Jun-25,Lenovo
100e Chromebook 2nd Gen MTK,Jun 2025(2),Lenovo
N23 Yoga Chromebook,Jun-22,Lenovo
300e Chromebook,Jun 2025(2),Lenovo
300e Chromebook 2nd Gen,Jun-25,Lenovo
300e Chromebook 2nd Gen MTK,Jun 2025(2),Lenovo
500e Chromebook,Nov-23,Lenovo
500e Chromebook 2nd Gen,Jun-25,Lenovo
N42 Chromebook,Jun-21,Lenovo
14e Chromebook,Jun-25,Lenovo
Ideapad S330 Chromebook,Jun-22,Lenovo
Ideapad C330 Chromebook,Jun-22,Lenovo
Yoga C630 Chromebook,Jun-24,Lenovo
Thinkpad X131e Chromebook,Jun-18,Lenovo
ThinkPad 11e Chromebook,Jun-19,Lenovo
ThinkPad 11e 3rd Gen Chromebook,Jun-21,Lenovo
ThinkPad 11e 4th Gen Chromebook,Nov-23,Lenovo
ThinkPad 13,Nov-22,Lenovo
ThinkCentre Chromebox,Jun-20,Lenovo
Chromebase (22CV241),Jun-19,LG
Chromebase (22CB25S),Jun-20,LG
Chromebook,Jun-20,M&A
Chromebook S2015,Jun-20,Medion
Chromebook Akoya S2013    ,Jun-20,Medion
Chromebook M11C,Aug-21,Multilaser
"Chromebook 11.6""",Jun-20,Nexian
Chromebook CX100,Jun-20,Ncomputing
Chromebook CX110,Jun-20,Ncomputing
Chromebook PCM-116E/PCM-116EB,Jun-20,PCMerge
Chromebook PCM-116T-432B,Aug-21,PCMerge
Chromebook AL116,Nov-23,PCMerge
Chromebook 11,Jun-20,Poin2
Chromebook 14,Mar-22,Poin2
Chromebook CH1190,Jun-20,Positivo
Chromebook C216B,Aug-21,Positivo
Chromebook Entryline,Jun-20,Prowise
Chromebook Proline,Aug-21,Prowise
Chromebook Eduline,Nov-23,Prowise
Chromebook Series 5,Jun-16,Samsung
Chromebook Series 5 550,May-17,Samsung
Chromebox Series 3,Mar-18,Samsung
Chromebook - XE303,Jul-18,Samsung
"Chromebook 2 11""",Jun-19,Samsung
"Chromebook 2 11"" - XE500C12",Jun-20,Samsung
Chromebook 3,Jun-21,Samsung
"Chromebook 2 13""",Jun-19,Samsung
Chromebook Plus,Aug-23,Samsung
Chromebook Plus (V2),Jun-24,Samsung
Chromebook Pro,Nov-22,Samsung
E1 Rugged Chromebook,Jun-20,Sector 5
E3 Chromebook,Nov-23,Sector 5
C1101 Chromebook,Jun-20,Senkatel
Chromebook,Jun-19,Toshiba
Chromebook 2,Jun-20,Toshiba
Chromebook 2 (2015 Edition),Sep-20,Toshiba
NMP660 Chromebox,Jun-24,Viewsonic
Chromebook 11,Jun-20,Viglen
Chromebook 360,Aug-21,Viglen
